Solving Time,Building Time,Total Time
24205.599998822436,11348.400003043935,35554.00000186637
26105.799996003043,14579.70000046771,40685.49999647075
22744.599998986814,13700.700001209043,36445.30000019586
23712.50000578584,13142.299998435192,36854.80000422103
22441.599998273887,12334.30000138469,34775.89999965858
23461.299999326002,13893.499999539927,37354.79999886593
22746.200003894046,20873.900000879075,43620.10000477312
23004.49999893317,12464.400002500042,35468.90000143321
25114.800002484117,13788.099997327663,38902.89999981178
22015.00000228407,12637.800005904865,34652.80000818893
23483.60000178218,12445.200001820922,35928.8000036031
21762.000003946014,13206.700001319405,34968.70000526542
21730.499996920116,13040.199999522883,34770.699996443
22442.90000089677,12389.600000460632,34832.5000013574
22992.89999791654,12231.900000188034,35224.79999810457
21852.50000184169,12462.99999911571,34315.5000009574
25423.599996429402,13405.500001681503,38829.099998110905
23528.400000941474,22495.400000480004,46023.80000142148
22101.200003817212,11521.69999841135,33622.90000222856
22116.199994343333,12077.499995939434,34193.69999028277
22760.800005926285,12480.400000640657,35241.20000656694
21298.99999999907,11319.600002025254,32618.600002024323
22184.1000020504,12916.599996970035,35100.699999020435
22092.29999425588,11859.899997944012,33952.199992199894
21753.90000047628,12471.699999878183,34225.60000035446
25346.70000022743,13789.600001473445,39136.300001700874
26094.29999574786,13251.299998955801,39345.59999470366
21100.999998452608,12645.700000575744,33746.69999902835
21905.30000370927,18922.79999447055,40828.09999817982
22668.49999432452,11335.700000927318,34004.19999525184
20681.399997556582,11524.599998665508,32205.99999622209
21522.899995034095,12339.59999808576,33862.499993119854
21598.40000240365,11819.899998954497,33418.30000135815
22174.89999748068,11945.09999913862,34119.9999966193
22599.90000311518,11218.599996936973,33818.500000052154
20894.79999995092,12269.999999261927,33164.799999212846
21425.300001283176,11243.699998885859,32669.000000169035
20776.49999409914,10974.299999361392,31750.799993460532
22552.800000994466,11448.299999756273,34001.10000075074
22046.700003556907,19988.799998827744,42035.50000238465
21100.10000615148,11146.299999381881,32246.40000553336
20652.60000381386,13231.400000222493,33884.00000403635
21450.89999976335,11666.700003843289,33117.60000360664
24544.299994886387,13859.999999112915,38404.2999939993
21504.50000044657,12270.899998839013,33775.39999928558
22241.99999909615,11294.100004306529,33536.10000340268
22286.400002485607,12148.300003900658,34434.700006386265
21925.69999897387,11331.499998050276,33257.199997024145
21946.699998807162,10972.900003253017,32919.60000206018
22483.400003693532,11040.100005629938,33523.50000932347
23458.80000211764,21816.39999616891,45275.19999828655
22187.1999965515,11443.499999586493,33630.69999613799
21879.20000142185,11344.70000397414,33223.90000539599
22757.30000110343,12185.899999167304,34943.200000270735
22122.499998658895,11890.800000401214,34013.29999906011
21625.30000350671,11905.600003956351,33530.90000746306
21524.100004171487,11689.900005876552,33214.00001004804
21744.49999438366,10952.699994959403,32697.199989343062
22653.89999956824,10794.399997394066,33448.299996962305
22262.500002398156,11455.300002126023,33717.80000452418
23115.099997085053,20391.89999777591,43506.99999486096
23739.99999690568,11041.899997508153,34781.899994413834
25158.600001304876,13412.200001766905,38570.80000307178
21981.800004141405,13061.899997410364,35043.70000155177
22089.10000626929,11637.100004008971,33726.20001027826
22740.60000490863,11097.999995399732,33838.60000030836
21391.399997810367,12053.400001605041,33444.79999941541
21080.80000471091,11268.399997788947,32349.200002499856
22128.39999992866,11860.5999959982,33988.99999592686
22344.899996824097,12566.6000021738,34911.4999989979
24008.10000108322,13773.80000485573,37781.90000593895
20847.300002060365,20045.19999900367,40892.500001064036
20800.59999570949,11593.899995204993,32394.499990914483
22733.59999526292,11962.399999902118,34695.99999516504
21403.699996881187,10973.700002068654,32377.39999894984
22277.199997915886,11126.599994895514,33403.7999928114
22327.800004859455,12017.199995170813,34345.00000003027
22091.699996963143,12166.300002718344,34257.99999968149
20897.200003673788,11092.900000221562,31990.10000389535
21214.799999142997,11943.099998461548,33157.899997604545
23709.500004770234,11547.300004167482,35256.80000893772
21502.700001292396,10938.20000096457,32440.900002256967
22009.399996022694,19737.000002351124,41746.39999837382
24096.599998301826,14261.500000429805,38358.09999873163
25201.800002832897,14160.999999148771,39362.80000198167
21165.59999558376,11585.300002479926,32750.899998063687
22296.899995126296,11083.40000064345,33380.29999576975
21632.5000001234,12454.499999876134,34086.999999999534
21649.20000359416,12178.800003312062,33828.00000690622
20810.900001379196,11559.400001715403,32370.3000030946
23301.200002606492,11356.700000760611,34657.9000033671
22068.30000068294,11389.999999664724,33458.30000034766
22989.50000113109,11738.799999875482,34728.30000100657
23323.90000083251,22742.999994079582,46066.89999491209
21542.499998759013,11162.199996761046,32704.69999552006
21249.90000447724,10988.699999870732,32238.600004347973
22060.49999949755,11342.40000101272,33402.90000051027
