Solving Time,Building Time,Total Time
133233.6999985273,37983.99999504909,171217.6999935764
129827.79999583727,37749.999995867256,167577.79999170452
129953.70000135154,35815.39999868255,165769.1000000341
128152.90000435198,45626.09999993583,173779.0000042878
126319.39999846509,37077.300003147684,163396.70000161277
130226.5999984229,35726.600006455556,165953.20000487845
128731.40000010608,45722.100003331434,174453.5000034375
140038.40000077616,38480.799994431436,178519.1999952076
133069.2999981693,37809.1000020504,170878.4000002197
137465.60000436148,48812.90000048466,186278.50000484614
131700.1000061282,38026.10000275308,169726.20000888128
128863.60000265995,37233.2999977516,166096.90000041155
128527.30000304291,41688.40000056662,170215.70000360953
127018.99999956368,46151.59999957541,173170.59999913909
123862.7999991877,35333.199994056486,159195.9999932442
128657.20000263536,35022.39999943413,163679.6000020695
130589.30000261171,43722.80000097817,174312.10000358988
130284.799997753,34447.500001988374,164732.29999974137
126918.80000056699,35017.7000000258,161936.5000005928
131422.90000541834,45932.200002425816,177355.10000784416
124517.3999996041,35839.0999972471,160356.4999968512
130353.60000503715,35139.400002663024,165493.00000770018
125499.00000158232,43040.89999641292,168539.89999799524
128213.90000317479,35676.100000273436,163890.00000344822
128651.89999865834,35302.59999388363,163954.49999254197
129986.79999873275,48151.799994229805,178138.59999296255
129054.30000682827,36451.89999951981,165506.20000634808
133724.99999968568,36214.40000279108,169939.40000247676
134093.09999406105,47560.799997881986,181653.89999194304
131026.30000503268,34977.100003743544,166003.40000877623
134338.70000153547,39129.79999586241,173468.49999739788
128647.59999501985,47733.299994433764,176380.8999894536
130397.9000003892,36998.70000127703,167396.60000166623
130516.40000048792,37804.40000264207,168320.80000313
131619.10000053467,44383.899999957066,176003.00000049174
130348.50000258302,36124.69999643508,166473.1999990181
130930.30000163708,33737.89999750443,164668.1999991415
129489.69999706605,35774.1999978316,165263.89999489766
125131.69999874663,46212.900000682566,171344.5999994292
132925.79999688314,35068.29999969341,167994.09999657655
126173.39999997057,34321.799997997005,160495.19999796757
125247.50000011409,43483.09999477351,168730.5999948876
125258.70000536088,35203.59999674838,160462.30000210926
126428.70000127004,36229.80000363896,162658.500004909
128067.50000163447,43910.69999837782,171978.2000000123
132795.59999500634,38294.50000193901,171090.09999694536
130374.69999835594,39654.60000472376,170029.3000030797
134735.59999692952,45185.20000419812,179920.80000112765
132575.600000564,35495.70000177482,168071.30000233883
128073.50000366569,33921.70000006445,161995.20000373013
128441.9000003254,44013.69999686722,172455.59999719262
129570.29999961378,35344.29999854183,164914.5999981556
133026.29999816418,35070.19999960903,168096.4999977732
130772.39999984158,45237.09999921266,176009.49999905424
130333.59999826644,38338.99999881396,168672.5999970804
131547.19999874942,35992.50000115717,167539.6999999066
129402.39999443293,45612.40000475664,175014.79999918956
125376.8000024138,36424.20000687707,161801.00000929087
129377.40000052145,35651.40000137035,165028.8000018918
130815.99999713944,48541.70000180602,179357.69999894546
131095.40000004927,36667.79999912251,167763.19999917177
132028.3000022755,36099.5999944862,168127.8999967617
125466.89999726368,37686.900002881885,163153.80000014557
126986.40000598971,44259.99999511987,171246.40000110958
126616.09999486245,34045.19999457989,160661.29998944234
131579.6000053524,36308.700000518,167888.3000058704
131432.3999977205,45044.799997413065,176477.19999513356
128857.99999639858,37594.39999703318,166452.39999343175
128764.99999401858,34870.700001192745,163635.69999521133
132440.19999547163,45208.29999819398,177648.4999936656
132128.0999982264,35901.000002922956,168029.10000114935
131311.19999889052,34206.09999739099,165517.2999962815
131539.90000137128,44164.099999761675,175704.00000113295
127229.8999974737,34290.699994016904,161520.5999914906
129207.69999618642,34787.80000295956,163995.49999914598
129590.99999716273,45310.20000285935,174901.20000002207
125669.60000549443,34609.100002853666,160278.7000083481
133402.30000176234,35045.199998421595,168447.50000018394
136552.9000031529,48760.09999861708,185313.00000176998
124360.59999890858,35060.80000079237,159421.39999970095
124035.79999954673,33997.39999440499,158033.1999939517
126828.69999844115,42998.50000097649,169827.19999941764
127702.0999987144,35080.900001048576,162782.99999976298
124198.2999999891,35151.000003679655,159349.30000366876
130428.90000360785,42681.30000127712,173110.20000488497
123818.10000078985,33270.8999994793,157089.00000026915
134574.39999911003,40131.60000613425,174706.00000524428
127074.09999711672,34302.60000459384,161376.70000171056
129374.09999722149,47842.49999647727,177216.59999369876
122654.70000420464,33486.00000026636,156140.700004471
124211.50000591297,36071.10000302782,160282.6000089408
