Optimal Bins,Solving Time,Building Time,Total Time
12,36103.821999859065,105154.12400127389,141257.94600113295
12,33954.562997678295,99429.74500154378,133384.30799922207
12,33794.74499524804,99723.25400303816,133517.9989982862
12,33864.35999709647,95499.62900200626,129363.98899910273
12,33945.602997846436,99849.87499774434,133795.47799559077
12,34069.604000251275,96539.74899993045,130609.35300018173
12,33895.528002176434,95515.07799915271,129410.60600132914
12,32863.987995369826,100187.12999590207,133051.1179912719
12,33874.89099986851,99321.97099988116,133196.86199974967
12,32946.04000257095,100747.00000404846,133693.0400066194
12,33823.141995526385,97926.05999973603,131749.2019952624
12,33829.077998234425,101055.17700139899,134884.2549996334
12,33857.612004794646,99685.67499890924,133543.28700370388
12,33831.083004770335,98347.77699870756,132178.8600034779
12,33970.23700381396,99798.22900641011,133768.46601022407
12,32713.711996620987,94362.52799787326,127076.23999449424
12,33841.931995993946,99861.05100688292,133702.98300287686
12,33744.24999492476,95361.16199888056,129105.41199380532
12,33864.3819995923,100890.76499571092,134755.14699530322
12,34021.99900301639,99681.42899742816,133703.42800044455
12,33876.91300304141,98439.48500201805,132316.39800505945
12,34116.51300120866,95404.9669962842,129521.47999749286
12,33376.097002474125,100205.95300011337,133582.0500025875
12,34020.93899785541,96905.60300077777,130926.54199863318
12,34041.863997117616,96541.18799517164,130583.05199228926
12,33707.38100056769,95621.21500493959,129328.59600550728
12,33946.538002055604,99999.15600201348,133945.69400406908
12,33936.55800027773,95658.6399988737,129595.19799915142
12,33838.7019946822,100822.94399762759,134661.6459923098
12,33890.469996549655,95347.53799380269,129238.00799035234
12,32816.05699885404,99857.5699995854,132673.62699843943
12,33765.858999686316,94960.9369999962,128726.79599968251
12,33816.78599544102,99149.04399920488,132965.8299946459
12,33749.127003829926,99763.19199631689,133512.31900014682
12,33984.19600125635,100181.91199924331,134166.10800049966
12,33798.53099613683,95755.76199858915,129554.29299472598
12,33849.87999743316,100959.52599658631,134809.40599401947
12,33781.16000385489,99686.9250011514,133468.0850050063
12,32682.696997653693,98382.89499748498,131065.59199513867
12,17055.95399835147,99876.6480042832,116932.60200263467
12,18607.776997669134,55510.01999992877,74117.7969975979
12,17701.00399880903,51209.90000432357,68910.9040031326
12,17531.68600407662,59471.371001563966,77003.05700564058
12,18434.566001815256,49422.153999330476,67856.72000114573
12,18987.560004461557,55739.213996275794,74726.77400073735
12,19223.463998059742,52914.36800325755,72137.83200131729
12,19078.846999036614,53087.223997863475,72166.07099690009
12,18921.510003565345,55282.72299852688,74204.23300209222
12,18982.27899800986,52976.54699825216,71958.82599626202
12,17572.804994415492,50339.784000243526,67912.58899465902
