Solving Time,Building Time,Total Time
23087.966001185123,11899.916004040278,34987.8820052254
25009.67500236584,13528.208000934683,38537.88300330052
22514.447999128606,13647.223997395486,36161.67199652409
23898.346997157205,15079.84999625478,38978.196993411984
25062.592001631856,17159.212999104057,42221.80500073591
25093.91200146638,13356.82599892607,38450.73800039245
28765.805000148248,14127.468995866366,42893.273996014614
22014.25100065535,14118.311999482103,36132.56300013745
22289.073996944353,19485.922995954752,41774.996992899105
21884.932997636497,15334.707000874914,37219.63999851141
22100.64000246348,19657.283002743497,41757.923005206976
24755.976999585982,13598.723999166396,38354.70099875238
21865.394002816174,14156.77099430468,36022.16499712085
22540.099002071656,16024.391996324994,38564.49099839665
21838.832995854318,15936.11700081965,37774.94999667397
22306.906001176685,15794.382998137735,38101.28899931442
22670.636004477274,13638.835000165273,36309.471004642546
22689.23099472886,14883.960997394752,37573.19199212361
22933.36900038412,14369.831005751621,37303.20000613574
21887.841998250224,14280.772003985476,36168.6140022357
21336.842997698113,19513.826999173034,40850.66999687115
21578.55599944014,13925.734994700179,35504.29099414032
21445.30700024916,18482.29100141907,39927.59800166823
21298.356994520873,14436.37500051409,35734.73199503496
22513.15300236456,14191.513997502625,36704.666999867186
22985.015995800495,14734.75300008431,37719.768995884806
21504.52500063693,15232.271995046176,36736.79699568311
22569.25300025614,17113.486996095162,39682.7399963513
22332.618995278608,14137.88199715782,36470.50099243643
22213.988995645195,15922.268998110667,38136.25799375586
21359.471000323538,15508.53699882282,36868.00799914636
22075.53799962625,21163.571000215597,43239.10899984185
21787.82799455803,15410.036001412664,37197.86399597069
22479.888000816572,15103.930993063841,37583.81899388041
22404.768998967484,14518.062998831738,36922.83199779922
21806.835000461433,14632.621998316608,36439.45699877804
21869.564006919973,15140.879004320595,37010.44301124057
22155.865000968333,14517.752002575435,36673.61700354377
21780.900002340786,14053.779996174853,35834.67999851564
22033.415996702388,14022.801995452028,36056.217992154416
21764.15500434814,16280.3789935424,38044.53399789054
22269.585002504755,14874.328997393604,37143.91399989836
21810.32599764876,13708.534999750555,35518.860997399315
21931.17400020128,14648.811004008166,36579.98500420945
22551.369002030697,14291.144005255774,36842.51300728647
22669.486002996564,13947.811996331438,36617.297999328
21950.990994810127,15580.067003611475,37531.0579984216
21850.394005014095,17651.53599990299,39501.930004917085
22142.503003124148,18531.671004893724,40674.17400801787
22633.396998571698,16468.994996102992,39102.39199467469
