Solving Time,Building Time,Total Time
204151.51000000266,88738.64700001376,292890.1570000164
209186.5679999785,81442.53599999729,290629.1039999758
225033.08199998172,78702.6600000047,303735.7419999864
187378.55000000537,67033.90999999215,254412.45999999752
185071.191999981,76939.8209999963,262011.0129999773
218519.67900002477,100648.7580000055,319168.4370000303
189487.2709999902,106232.57599999646,295719.8469999867
193248.30799999405,54269.24299999314,247517.5509999872
187882.78699997818,61869.2939999903,249752.0809999685
185118.7969999728,62797.01700000828,247915.8139999811
186702.45199999158,51074.410000012445,237776.86200000404
194303.7469999922,75534.49100001331,269838.2380000055
194199.2700000128,96488.80000000304,290688.07000001584
185055.7249999838,46882.21000000681,231937.9349999906
183545.06200000743,50913.45599998931,234458.51799999672
193524.75200000184,106879.5449999982,300404.297
190272.14400000504,52719.15099999092,242991.29499999597
195880.7740000168,104799.03399999558,300679.80800001236
207659.90200001738,77644.08200000616,285303.98400002357
192379.78300000692,54083.2309999928,246463.01399999973
197373.7190000122,46285.85300000054,243659.57200001273
228494.47799998758,86917.8599999998,315412.33799998736
191744.73199998942,54578.981000020125,246323.71300000953
289192.982000003,153734.09500000434,442927.0770000073
276333.937000004,60019.9969999835,336353.9339999875
225399.75600000162,73724.73899999932,299124.4950000009
198388.90599999105,46514.148999989404,244903.05499998046
317573.450999987,63171.51299998614,380744.96399997314
208072.95099999124,73681.50899998227,281754.45999997354
191465.56999999122,60378.39600000439,251843.9659999956
217154.71699999965,83619.43900001733,300774.15600001696
191379.83599998165,104665.00399999745,296044.8399999791
184141.9769999959,56283.441999994466,240425.4189999904
186315.00200001482,46334.05699999571,232649.05900001054
197685.11499998454,82690.40000001837,280375.5150000029
184529.42499999382,52779.817000015326,237309.24200000914
186722.00500000714,65033.862999996476,251755.86800000363
186863.02500000806,49895.727999995644,236758.7530000037
193433.59900000223,65598.8390000175,259032.43800001973
191167.9709999987,63224.596999987174,254392.56799998588
190814.34200001013,74985.58999998294,265799.93199999304
186925.2660000029,55506.52700000569,242431.79300000862
194574.36500002246,75568.65899999821,270143.0240000207
184605.012999981,73160.10600001732,257765.11899999832
188084.0509999757,61025.91499998766,249109.96599996337
191467.21699999602,52186.99099998503,243654.20799998104
191526.52199997532,56087.61799999229,247614.1399999676
191918.08100001139,72337.84499999274,264255.9260000041
186509.8590000116,91558.84300000139,278068.70200001297
190415.45800001814,46195.04599997981,236610.50399999795
