Solving Time,Building Time,Total Time
146435.5300013267,47644.60599835729,194080.135999684
146804.25899859983,41408.23499983526,188212.4939984351
150406.9119982887,44725.62499722699,195132.5369955157
153971.61800137837,39480.816001741914,193452.4340031203
84040.78899911838,23586.33999756421,107627.12899668259
85062.73999955738,23254.518000612734,108317.25800017011
81269.63300310308,24743.883997871308,106013.51700097439
90363.47700020997,25660.619998234324,116024.09699844429
86122.9430011008,23343.836997810286,109466.77999891108
92554.26500021713,29418.64800231997,121972.9130025371
101716.86899775523,28170.055000373395,129886.92399812862
161597.6260000025,43004.20199797372,204601.82799797622
86457.13600344607,23438.1200025382,109895.25600598427
99236.49699703674,22768.109000026016,122004.60599706275
90138.38000100804,25638.811999669997,115777.19200067804
111674.72200031625,24699.92199985427,136374.64400017052
93897.48399917153,25249.594000342768,119147.0779995143
90256.57899837825,26718.510998762213,116975.08999714046
92156.36999942944,24434.92000020342,116591.28999963286
99692.35899916384,27070.291002019076,126762.65000118292
92972.4810011976,25216.54500014847,118189.02600134606
87458.26599988504,22510.57099783793,109968.83699772297
90988.49300062284,25063.60000188579,116052.09300250863
87300.73900005664,30590.037000365555,117890.7760004222
95112.51300136792,24454.256003082264,119566.76900445018
108706.95300036459,29011.65599905653,137718.60899942112
87641.3269979821,24437.685002340004,112079.01200032211
92796.94099677727,27931.599001021823,120728.53999779909
91604.5989979466,25857.51899823663,117462.11799618322
88143.2619971747,23955.72900059051,112098.99099776521
84587.29500125628,25330.0059994217,109917.30100067798
81805.01199967694,21960.663001664216,103765.67500134115
90611.21800186811,23614.851001184434,114226.06900305254
136256.7400028638,26368.144997832133,162624.88500069594
132163.30900104367,62245.018998510204,194408.32799955388
84788.60499963048,22598.59100013273,107387.19599976321
95277.09599933587,24071.215997537365,119348.31199687324
128545.62199936481,31355.897001049016,159901.51900041383
96049.60599972401,28327.211999567226,124376.81799929123
85833.78099865513,22346.147998177912,108179.92899683304
89479.77899879334,25407.712000742322,114887.49099953566
149075.54700039327,30452.44900204125,179527.99600243452
101886.00699984818,28105.509001761675,129991.51600160985
85997.75699985912,25324.7150030802,111322.47200293932
86980.80199974356,23909.275001642527,110890.07700138609
115570.61799976509,29076.976999931503,144647.5949996966
104104.05199945671,38243.78799981787,142347.83999927458
85908.8690012868,30259.83300176449,116168.7020030513
90749.73400129238,24290.04000077839,115039.77400207077
190222.68499975326,35587.88399823243,225810.56899798568
