Solving Time,Building Time,Total Time
417031.7660027649,119061.16799946176,536092.9340022267
400986.95100459736,114117.46100202436,515104.4120066217
418752.8550028219,118299.0810048068,537051.9360076287
404933.04499977967,115270.47600247897,520203.52100225864
399622.46600043727,113077.88300473476,512700.34900517203
409557.1219950216,111988.32099762512,521545.4429926467
404031.99099819176,116242.94899957022,520274.939997762
422182.4830019614,112339.9319985765,534522.4150005379
417642.4050019705,115778.84299913421,533421.2480011047
399250.08599675493,111654.00200115982,510904.08799791476
414744.4460031693,118535.5769994203,533280.0230025896
421371.8719984172,115356.63299582666,536728.5049942438
423222.0050034812,123656.05900413357,546878.0640076147
407868.68699797196,114864.36799896182,522733.0549969338
405649.83100193786,110666.66900296696,516316.5000049048
421516.5710047586,119584.4709945959,541101.0419993545
401850.2079998143,113422.9020026396,515273.1100024539
399512.97100196825,115499.28200111026,515012.2530030785
397207.18299940927,116491.41999805579,513698.60299746506
399347.64400095446,118315.3109959676,517662.95499692205
395099.6860003215,111799.61500602076,506899.3010063423
414484.5760019962,119323.33500590175,533807.9110078979
396989.09100116,119305.33799750265,516294.4289986626
404026.859003352,111918.42599509982,515945.2849984518
398716.90700238105,112155.71899811039,510872.62600049144
403541.216001031,111304.3520017527,514845.5680027837
412373.8639973453,117863.07700094767,530236.940998293
402713.1080001709,115643.88099941425,518356.98899958516
478564.7250027978,116967.30499534169,595532.0299981395
423825.25699940743,118851.03700478794,542676.2940041954
417895.08900546934,113406.95599938044,531302.0450048498
547694.1189990612,151850.98700021626,699545.1059992774
519850.8120010956,147232.63199994108,667083.4440010367
399771.43600117415,117339.62000289466,517111.0560040688
525527.6480020257,117569.21100459294,643096.8590066186
507392.35800574534,155036.24000120908,662428.5980069544
421670.26700190036,117966.20600216556,539636.4730040659
397323.5820012633,115257.62899691472,512581.210998178
403529.33800022583,115859.6950044739,519389.03300469974
398448.4929969767,115486.26799776684,513934.76099474356
420896.5479992912,119382.13599933079,540278.683998622
399605.6839969242,116836.8360013119,516442.5199982361
421245.7289977465,120397.41800253978,541643.1470002863
425690.5339934747,119486.71600111993,545177.2499945946
398381.01899658795,115806.27700459445,514187.2960011824
398811.2330043805,113498.27199592255,512309.50500030303
407319.8810001486,112854.31899887044,520174.19999901904
421286.87300282763,120316.83100212831,541603.704004956
397656.6780038411,112819.26000083331,510475.9380046744
423734.05399848707,121149.03800102184,544883.0919995089
