Optimal Bins,Solving Time,Building Time,Total Time
27,124999.95200050762,379568.34099895786,504568.2929994655
27,119229.86199351726,338495.60899398057,457725.4709874978
27,118833.3359968965,343618.0940043414,462451.4300012379
27,122699.34600044508,352255.47200388974,474954.8180043348
27,124351.11699596746,364953.158001299,489304.2749972665
27,116338.56200205628,345180.02499680733,461518.5869988636
27,124599.99199927552,357010.8169951709,481610.8089944464
27,119088.4969983017,343533.80399988964,462622.30099819135
27,124575.0020025298,357723.1499948539,482298.1519973837
27,117790.30400066404,340866.67300289264,458656.9770035567
27,117983.63300476922,342745.5899945926,460729.2229993618
27,114884.9299934227,337861.97700101184,452746.90699443454
27,120855.6560013676,349995.44500169577,470851.1010030634
27,128002.75000336114,389404.684996407,517407.43499976816
27,121913.44200255116,381175.98100507166,503089.4230076228
27,122861.2919949228,383959.8609993118,506821.1529942346
27,124172.5240033702,367679.74300164497,491852.26700501516
27,125291.71200003475,361741.35700275656,487033.0690027913
27,120092.91400318034,365202.2750029573,485295.18900613766
27,124860.06999824895,368725.4230026156,493585.4930008645
27,118994.38800173812,367781.6650015302,486776.0530032683
27,123564.79400477838,377068.4289993369,500633.2230041153
27,123256.89700082876,375179.8450030037,498436.7420038325
27,131997.08899628604,377914.6010056138,509911.69000189984
27,130570.1970049995,433898.1609980692,564468.3580030687
27,123475.8860009606,385691.40800245805,509167.29400341865
27,114793.82000106853,366632.3610013933,481426.1810024618
27,114648.08900200296,339433.91700449865,454082.0060065016
27,131135.65600360744,352082.6250023674,483218.28100597486
27,117333.15800665878,365719.14100204594,483052.2990087047
27,124209.16800328996,371607.56299999775,495816.7310032877
27,125772.08199945744,370047.61600110214,495819.6980005596
27,115250.2090044436,357527.53500128165,472777.74400572525
27,123461.26500051469,381890.6079977751,505351.87299828976
27,117299.88399747526,360447.52299494576,477747.406992421
27,127413.98100479273,360589.46500270395,488003.4460074967
27,117560.53900171537,358186.6739987163,475747.21300043166
27,124561.33199884789,363994.03500399785,488555.36700284574
27,119698.87099985499,365665.07500538137,485363.94600523636
27,118310.12900074711,369325.9519932326,487636.0809939797
27,117865.70300318999,360034.16500170715,477899.86800489714
27,117923.39700332377,362182.18699650606,480105.58399982983
27,123992.79900273541,359921.6070069815,483914.4060097169
27,125875.13699691044,359966.90900356043,485842.0460004709
27,117372.60199879529,361047.6449975977,478420.24699639296
27,124515.32800332643,365390.2959995321,489905.62400285853
27,119592.44000172475,356163.92699739663,475756.3669991214
27,117874.16100560222,362651.2620030553,480525.4230086575
27,118605.85500107845,365082.0860057138,483687.94100679224
27,142512.758000521,370985.0019949954,513497.7599955164
